Nonce,Incoming/Outgoing,Transaction Status,Category,Recipient Name,Token,Token Symbol,Tag,Token Amount,USD Amount,From Address,To Address,Description,Transaction Hash,Executed at,Transaction fees
,Incoming,Success,Other,,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,,2585.315408,--,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x35ff876e2c3b5fef638bcd71adb540ca947d9e03671325e391e80cc146194050,14-04-2022 10:04:00 -04:00,--
,Incoming,Success,Other,,ETH,ETH,,1.435,--,0xC2f41b3a1FF28Fd2A6EeE76EE12e51482fcFd11F,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x21765d00e00cb88bd61932af6438baee76383dd57e618559352947d3965a71c6,05-01-2022 16:01:00 -05:00,--
,Incoming,Success,Other,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20000,--,0xC2f41b3a1FF28Fd2A6EeE76EE12e51482fcFd11F,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,--,0x212eb1dbe969f94afc3737527588e924c86f8201d7312a065a1c9a19b4f1a3df,27-05-2022 15:05:00 -04:00,--
66,Outgoing,Success,Reimbursement,,ETH,ETH,,0.053811241,65.91,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x581BEf12967f06f2eBfcabb7504fA61f0326CD9A,Wonderverse Multisend Gas + Joke Race Gas,0x6f1912064a44d1ce95a5d07ccf4aaf39def407fc61230ed58b0735abc29de84b,13-06-2022 13:06:50 -04:00,0.002279 ETH
65,Outgoing,Success,Other,,ETH,,,0,--,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x6ed349eA948b8BEbcb0878d304FEdc8003f9127c,--,0xd4dfefe4b5817684c9f5212999498c405362b7abcc8531bf133b25ad5e8ee26e,02-06-2022 16:06:74 -04:00,0.002147 ETH
65,Outgoing,Success,Other,,ETH,,,0,--,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x5D38f3369517F5868140cA28EB70865f268B9FC7,--,0xd4dfefe4b5817684c9f5212999498c405362b7abcc8531bf133b25ad5e8ee26e,02-06-2022 16:06:74 -04:00,0.002147 ETH
65,Outgoing,Success,Other,,ETH,,,0,--,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xCd8952738C29e5A7636dFb862112D427B466F833,--,0xd4dfefe4b5817684c9f5212999498c405362b7abcc8531bf133b25ad5e8ee26e,02-06-2022 16:06:74 -04:00,0.002147 ETH
65,Outgoing,Success,Other,,ETH,,,0,--,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xCd8952738C29e5A7636dFb862112D427B466F833,--,0xd4dfefe4b5817684c9f5212999498c405362b7abcc8531bf133b25ad5e8ee26e,02-06-2022 16:06:74 -04:00,0.002147 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x4D8B108d49a4dcCb530E3856eeA3218AfB9EEC79,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xfbFBe760c7df2574cC218d7DFa428BAebE05B583,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x385fFdc5cFDE800B3625A5a323a8b16677F044a2,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3B6D9CB250d9abE90dF81FF4c85A652020d67aA9,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xdb789B1f9d9a00D826958Aa36757fD7B3dc06E40,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xeB9d856C73a624da354fD3bEC616E8Cc7ffc56f9,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xA624d331BE45d7c67ACd0A8275c1cb804de53B32,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
64,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,500,492.75,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x7bC06426C05Ad5FD30365993376d0e6Db98821f2,Messari (Batch 1),0x47e6e8a53c14d35d8b1c56e03790827e0fdfcef07262ec9d59ee206115ac11c0,01-06-2022 15:06:62 -04:00,0.025312 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.85,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3ca9dF4c6Abd98066e7da1429E114A5FCb3b72E7,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,40,39.42,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xeA0bCe1a4439304052DAD4114AF345DA40160812,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xB300CfaF0E4e3fBfe0c4b056277a526768887944,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x7aF2D9A872Cbb1Bc19fcBd75A4241776Ab63dcCA,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,30,29.56,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x78d88D9073c1492D82b42C4Dc2D116EF278dDa5D,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20,19.71,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x988682054ca48D89ADbd5C027D750A36c86b0493,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,110,108.4,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x13E29aC353455C110af6E51D81208Bf21FEfEDa9,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20,19.71,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x0331C1Ce75F315a49849BE77B6a37b1959eBb1EB,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.85,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xA09bCDF582a36c95eC2e8A816c86A074D9290970,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,40,39.42,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x39E856863e5F6f0654a0b87B12bc921DA23D06BB,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20,19.71,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x5F22F93f6283452B9BebcD44Aa6C81c15Cc6B620,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
63,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.85,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xdAeFf348b20AA492d2EB52D2A99426463cdB93d8,Bounties: Authors: True Freeze (May Questions),0x73d338d4b8c3b5ac4b1f941bb345c4f53db8e84ac155bfb950153b298bfe4d9e,01-06-2022 15:06:85 -04:00,0.031392 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.92,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xdAeFf348b20AA492d2EB52D2A99426463cdB93d8,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,30,29.78,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xeA0bCe1a4439304052DAD4114AF345DA40160812,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3693C13E5DA13aD8C5642680C960C874B7A07Cf2,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xEf477e0042f37ECC206A01eFb290049cA7D70639,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xF9067331DCB593C9D4532b6ae30aec4AF2Ee415D,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xD50F62dE505690025405d07eE47BCFcC2B0A889D,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xc3758df3108BfF9b182DFBe40EB5F6465015f62C,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xa290e57ec5F9b173Ab8469421666cA198F72a6C2,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3ca9dF4c6Abd98066e7da1429E114A5FCb3b72E7,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
62,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x7aF2D9A872Cbb1Bc19fcBd75A4241776Ab63dcCA,Bounties: Authors: Bancor v3 (May Questions),0xd07fd6dc70597aebf0ff5feece38fc0fb025876d2478f77857638975be54ad9b,01-06-2022 15:06:31 -04:00,0.018866 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.63,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3ca9dF4c6Abd98066e7da1429E114A5FCb3b72E7,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.92,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3a14832B23d3dCa67E155f6ac2bC90B0b23AfaCD,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,30,29.78,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x988682054ca48D89ADbd5C027D750A36c86b0493,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,10,9.92,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x5F22F93f6283452B9BebcD44Aa6C81c15Cc6B620,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,70,69.48,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xB300CfaF0E4e3fBfe0c4b056277a526768887944,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20,19.85,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xeA0bCe1a4439304052DAD4114AF345DA40160812,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
61,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,30,29.78,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x661e6111844f9e63c9c9f64AE285FBF771b753a7,Bounties: Authors: Harmony (May Questions),0xb2b6b0a378dcdd1ee50b25b63f23573dade7a3e8b1694ac71faf29704e4aab00,01-06-2022 15:06:09 -04:00,0.011282 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,30,29.56,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xD50F62dE505690025405d07eE47BCFcC2B0A889D,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xEf477e0042f37ECC206A01eFb290049cA7D70639,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xb7F4Cf86f976432C9BA46b0a955eAd4640e89643,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xc3758df3108BfF9b182DFBe40EB5F6465015f62C,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xF9067331DCB593C9D4532b6ae30aec4AF2Ee415D,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x59D084cc9fd72fb7947b32625bae732a0E8C11e2,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3ca9dF4c6Abd98066e7da1429E114A5FCb3b72E7,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,20,19.71,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x60c610D8b488D8846B174667C8004058296EbB8b,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xa290e57ec5F9b173Ab8469421666cA198F72a6C2,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x3693C13E5DA13aD8C5642680C960C874B7A07Cf2,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0xE8Ce63e54e9208D3894e413f5EC2c41DDEBe86E9,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
60,Outgoing,Success,Bounty,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,,50,49.27,0x4faFB87de15cFf7448bD0658112F4e4B0d53332c,0x7aF2D9A872Cbb1Bc19fcBd75A4241776Ab63dcCA,Bounties: Authors: Biconomy (May Questions),0xc912f20fda2148aabac9fce7d8feaab0717647f1209ac961c1ed27e3998fb968,01-06-2022 15:06:68 -04:00,0.017802 ETH
